"Column A Destination ZIP Codes","Column B Label Container To"
"	00601, 00631","	ADJUNTAS PR 00601"
"	00603-00605","	AGUADILLA PR 00603"
"	00612-00614","	ARECIBO PR 00612"
"	00680-00682","	MAYAGUEZ PR 00680"
"	00693-00694","	VEGA BAJA PR 00694"
"	00716-00717","	PONCE PR 00716"
"	00721, 00745","	RIO GRANDE PR 00745"
"	00726-00727","	CAGUAS PR 00726"
"	00728, 00730-00731","	PONCE PR 00728"
"	00732-00733","	PONCE PR 00732"
"	00736-00737","	CAYEY PR 00736"
"	00784-00785","	GUAYAMA PR 00784"
"	00791-00792","	HUMACAO PR 00791"
"	00801-00805","	ST THOMAS VI 00801"
"	00820-00821","	ST CROIX VI 00820"
"	00830-00831","	ST JOHN VI 00830"
"	00840-00841","	FREDERIKSTED VI 00840"
"	00850-00851","	KINGSHILL VI 00850"
"	00901-00902, 00906","	SAN JUAN PR 00901"
"	00907-00916, 00937, 00940","	SAN JUAN PR 00914"
"	00917-00919","	SAN JUAN PR 00918"
"	00920-00921","	SAN JUAN PR 00920"
"	00923-00925, 00928-00929, 00931","	SAN JUAN PR 00924"
"	00926-00927","	SAN JUAN PR 00926"
"	00935-00936","	SAN JUAN PR 00936"
"	00949-00951","	TOA BAJA PR 00949"
"	00953-00954","	TOA ALTA PR 00953"
"	00956, 00959-00961","	BAYAMON PR 00960"
"	00957-00958","	BAYAMON PR 00958"
"	00962-00963, 00965","	CATANO PR 00962"
"	00966, 00968-00971","	GUAYNABO PR 00970"
"	00976-00978","	TRUJILLO ALTO PR 00976"
"	00979, 00982","	CAROLINA PR 00982"
"	00983, 00985, 00987","	CAROLINA PR 00983"
"	01002, 01004, 01035","	AMHERST MA 01002"
"	01013, 01020-01022","	CHICOPEE MA 01013"
"	01038, 01088","	HATFIELD MA 01038"
"	01039, 01096","	WILLIAMSBURG MA 01096"
"	01060-01061, 01063","	NORTHAMPTON MA 01060"
"	01069, 01080","	PALMER MA 01069"
"	01070, 01098","	WORTHINGTON MA 01098"
"	01085-01086, 01097","	WESTFIELD MA 01085"
"	01101-01102, 01111, 01115, 01144, 01152, 01199","	SPRINGFIELD MA 01101"
"	01108, 01138","	SPRINGFIELD MA 01108"
"	01118, 01128","	SPRINGFIELD MA 01118"
"	01201-01203","	PITTSFIELD MA 01201"
"	01220, 01256","	ADAMS MA 01220"
"	01224, 01237","	LANESBORO MA 01237"
"	01230, 01258","	GREAT BARRINGTON MA 01230"
"	01238, 01264","	LEE MA 01238"
"	01262-01263","	STOCKBRIDGE MA 01262"
"	01331, 01366, 01368","	ATHOL MA 01331"
"	01339, 01343","	CHARLEMONT MA 01339"
"	01342, 01373, 01375","	SO DEERFIELD MA 01373"
"	01344, 01349, 01351, 01376","	TURNERS FALLS MA 01376"
"	01364, 01378","	ORANGE MA 01364"
"	01432, 01434","	AYER MA 01432"
"	01441, 01473","	WESTMINSTER MA 01473"
"	01450, 01470-01471","	GROTON MA 01450"
"	01469, 01474","	TOWNSEND MA 01469"
"	01507, 01509","	CHARLTON MA 01507"
"	01518, 01521","	FISKDALE MA 01518"
"	01527, 01586","	MILLBURY MA 01527"
"	01537, 01540","	OXFORD MA 01540"
"	01570-01571","	WEBSTER MA 01570"
"	01601, 01608, 01613-01615, 01653, 01655","	WORCESTER MA 01613"
"	01602, 01612","	WORCESTER MA 01602"
"	01603, 01611","	WORCESTER MA 01603"
"	01607, 01610","	WORCESTER MA 01607"
"	01702-01705","	FRAMINGHAM MA 01702"
"	01718-01720","	ACTON MA 01720"
"	01730-01731","	BEDFORD MA 01730"
"	01745, 01772","	SOUTHBOROUGH MA 01772"
"	01830-01832","	HAVERHILL MA 01830"
"	01833-01834","	GEORGETOWN MA 01833"
"	01840-01843","	LAWRENCE MA 01840"
"	01901-01904, 01910","	LYNN MA 01901"
"	01930-01931","	GLOUCESTER MA 01930"
"	01950-01952","	NEWBURYPORT MA 01950"
"	01960-01961","	PEABODY MA 01960"
"	01970-01971","	SALEM MA 01970"
"	02026-02027","	DEDHAM MA 02026"
"	02108, 02113-02114, 02133, 02201, 02203, 02222","	BOSTON MA 02114"
"	02110, 02210, 02217","	BOSTON MA 02110"
"	02111-02112","	BOSTON MA 02111"
"	02115, 02123","	BOSTON MA 02115"
"	02116-02117","	BOSTON MA 02116"
"	02136-02137","	HYDE PARK MA 02136"
"	02153, 02155-02156","	MEDFORD MA 02155"
"	02169, 02269","	QUINCY MA 02169"
