"zip_code_served","facility_type","facility_zip_code"
"42402","scf",""
"42403","scf",""
"42404","scf",""
"42406","scf",""
"42408","scf",""
"42409","scf",""
"42410","scf",""
"42411","scf",""
"42413","scf",""
"42419","scf",""
"42420","scf",""
"42431","scf",""
"42436","scf",""
"42437","scf",""
"42440","scf",""
"42441","scf",""
"42442","scf",""
"42444","scf",""
"42445","scf",""
"42450","scf",""
"42451","scf",""
"42452","scf",""
"42453","scf",""
"42455","scf",""
"42456","scf",""
"42457","scf",""
"42458","scf",""
"42459","scf",""
"42460","scf",""
"42461","scf",""
"42462","scf",""
"42463","scf",""
"42464","scf",""
"47601","scf",""
"47610","scf",""
"47611","scf",""
"47612","scf",""
"47613","scf",""
"47614","scf",""
"47615","scf",""
"47616","scf",""
"47617","scf",""
"47618","scf",""
"47619","scf",""
"47620","scf",""
"47629","scf",""
"47630","scf",""
"47631","scf",""
"47633","scf",""
"47634","scf",""
"47635","scf",""
"47637","scf",""
"47638","scf",""
"47639","scf",""
"47640","scf",""
"47647","scf",""
"47648","scf",""
"47649","scf",""
"47654","scf",""
"47660","scf",""
"47665","scf",""
"47666","scf",""
"47670","scf",""
"47683","scf",""
"47701","scf",""
"47702","scf",""
"47703","scf",""
"47704","scf",""
"47705","scf",""
"47706","scf",""
"47708","scf",""
"47710","scf",""
"47711","scf",""
"47712","scf",""
"47713","scf",""
"47714","scf",""
"47715","scf",""
"47716","scf",""
"47719","scf",""
"47720","scf",""
"47721","scf",""
"47722","scf",""
"47724","scf",""
"47725","scf",""
"47727","scf",""
"47728","scf",""
"47730","scf",""
"47731","scf",""
"47732","scf",""
"47733","scf",""
"47734","scf",""
"47735","scf",""
"47736","scf",""
"47737","scf",""
"47739","scf",""
"47740","scf",""
"47741","scf",""
"47744","scf",""
"47747","scf",""
"47750","scf",""
"70301","scf",""
"70302","scf",""
"70339","scf",""
"70340","scf",""
"70341","scf",""
"70342","scf",""
"70343","scf",""
"70344","scf",""
"70345","scf",""
"70346","scf",""
"70352","scf",""
"70353","scf",""
"70354","scf",""
"70355","scf",""
"70356","scf",""
"70357","scf",""
"70358","scf",""
"70359","scf",""
"70360","scf",""
"70361","scf",""
"70363","scf",""
"70364","scf",""
"70371","scf",""
"70372","scf",""
"70373","scf",""
"70374","scf",""
"70375","scf",""
"70377","scf",""
"70380","scf",""
"70381","scf",""
"70390","scf",""
"70391","scf",""
"70392","scf",""
"70393","scf",""
"70394","scf",""
"70395","scf",""
"70397","scf",""
"71301","scf",""
"71302","scf",""
"71303","scf",""
"71306","scf",""
"71307","scf",""
"71309","scf",""
"71315","scf",""
"71316","scf",""
"71320","scf",""
"71322","scf",""
"71323","scf",""
"71324","scf",""
"71325","scf",""
"71326","scf",""
"71327","scf",""
"71328","scf",""
"71329","scf",""
"71330","scf",""
"71331","scf",""
"71333","scf",""
"71334","scf",""
"71336","scf",""
"71339","scf",""
"71340","scf",""
"71341","scf",""
"71342","scf",""
"71343","scf",""
"71345","scf",""
"71346","scf",""
"71348","scf",""
"71350","scf",""
"71351","scf",""
"71353","scf",""
"71354","scf",""
"71355","scf",""
"71356","scf",""
"71357","scf",""
"71358","scf",""
"71359","scf",""
"71360","scf",""
"71361","scf",""
"71362","scf",""
"71363","scf",""
"71365","scf",""
"71366","scf",""
"71367","scf",""
"71368","scf",""
"71369","scf",""
"71371","scf",""
"71373","scf",""
"71375","scf",""
"71377","scf",""
"71378","scf",""
"71401","scf",""
"71403","scf",""
"71404","scf",""
"71405","scf",""
"71406","scf",""
"71407","scf",""
"71409","scf",""
"71410","scf",""
"71411","scf",""
"71414","scf",""
"71415","scf",""
"71416","scf",""
"71417","scf",""
"71418","scf",""
"71419","scf",""
"71422","scf",""
"71423","scf",""
"71424","scf",""
"71425","scf",""
"71426","scf",""
"71427","scf",""
"71428","scf",""
"71429","scf",""
"71430","scf",""
"71431","scf",""
"71432","scf",""
"71433","scf",""
"71434","scf",""
"71435","scf",""
"71438","scf",""
"71439","scf",""
"71440","scf",""
"71441","scf",""
"71443","scf",""
"71446","scf",""
"71447","scf",""
"71448","scf",""
"71449","scf",""
"71450","scf",""
"71452","scf",""
"71454","scf",""
"71455","scf",""
"71456","scf",""
"71457","scf",""
"71458","scf",""
"71459","scf",""
"71460","scf",""
"71461","scf",""
"71462","scf",""
"71463","scf",""
"71465","scf",""
"71466","scf",""
"71467","scf",""
"71468","scf",""
"71469","scf",""
"71471","scf",""
"71472","scf",""
"71473","scf",""
"71474","scf",""
"71475","scf",""
"71477","scf",""
"71479","scf",""
"71480","scf",""
"71483","scf",""
"71485","scf",""
"71486","scf",""
"71496","scf",""
"71497","scf",""
"75401","scf",""
"75402","scf",""
"75403","scf",""
"75404","scf",""
"75407","scf",""
"75409","scf",""
"75410","scf",""
"75411","scf",""
"75412","scf",""
"75413","scf",""
"75414","scf",""
"75415","scf",""
"75416","scf",""
"75417","scf",""
"75418","scf",""
"75420","scf",""
"75421","scf",""
"75422","scf",""
"75423","scf",""
"75424","scf",""
"75425","scf",""
"75426","scf",""
"75428","scf",""
"75429","scf",""
"75431","scf",""
"75432","scf",""
"75433","scf",""
"75434","scf",""
"75435","scf",""
"75436","scf",""
"75437","scf",""
"75438","scf",""
"75439","scf",""
"75440","scf",""
"75441","scf",""
"75442","scf",""
"75443","scf",""
"75444","scf",""
"75446","scf",""
"75447","scf",""
"75448","scf",""
"75449","scf",""
"75450","scf",""
"75451","scf",""
"75452","scf",""
"75453","scf",""
"75454","scf",""
"75455","scf",""
"75456","scf",""
"75457","scf",""
"75458","scf",""
"75459","scf",""
"75460","scf",""
"75461","scf",""
"75462","scf",""
"75468","scf",""
"75469","scf",""
"75470","scf",""
"75471","scf",""
"75472","scf",""
"75473","scf",""
"75474","scf",""
"75475","scf",""
"75476","scf",""
"75477","scf",""
"75478","scf",""
"75479","scf",""
"75480","scf",""
"75481","scf",""
"75482","scf",""
